month,upi_volume_lakh,upi_value_crore,date,year,month_name,year_month,upi_volume_crore,upi_value_lakh_cr,avg_txn_value_rs,vol_mom_growth_pct,val_mom_growth_pct,vol_yoy_growth_pct,val_yoy_growth_pct,era
Nov-2019,12187.70742,189229.0891084,2019-11-01,2019,Nov,2019-11,121.877,1.8923,1552.62,,,,,Growth (2017-2019)
Dec-2019,13084.01713,202520.7585663,2019-12-01,2019,Dec,2019-12,130.84,2.0252,1547.85,7.3542109201699235,7.024115330537728,,,Growth (2017-2019)
Jan-2020,13050.19232,216242.974143,2020-01-01,2020,Jan,2020-01,130.502,2.1624,1657.01,-0.2585200681405664,6.775708166334815,,,Growth (2017-2019)
Feb-2020,13256.93237,222516.95003,2020-02-01,2020,Feb,2020-02,132.569,2.2252,1678.5,1.5841915960361996,2.9013547893820046,,,Growth (2017-2019)
Mar-2020,12468.4455,206462.3070262,2020-03-01,2020,Mar,2020-03,124.684,2.0646,1655.88,-5.947732461729382,-7.215020249754234,,,Covid Surge (2020-2021)
Apr-2020,9995.74376,151140.6642718,2020-04-01,2020,Apr,2020-04,99.957,1.5114,1512.05,-19.831676210157877,-26.795032735626513,,,Covid Surge (2020-2021)
May-2020,12344.97198,218391.5954934,2020-05-01,2020,May,2020-05,123.45,2.1839,1769.07,23.50228533669416,44.49559061131359,,,Covid Surge (2020-2021)
Jun-2020,13369.30941,261835.0009801,2020-06-01,2020,Jun,2020-06,133.693,2.6184,1958.48,8.297608383879052,19.892434683006343,,,Covid Surge (2020-2021)
Jul-2020,14973.54,290537.86,2020-07-01,2020,Jul,2020-07,149.735,2.9054,1940.34,11.999352702541731,10.962193332617677,,,Covid Surge (2020-2021)
Aug-2020,16188.28462,298307.60926612,2020-08-01,2020,Aug,2020-08,161.883,2.9831,1842.74,8.112608107368068,2.674263955176115,,,Covid Surge (2020-2021)
Sep-2020,18001.67,329031.84,2020-09-01,2020,Sep,2020-09,180.017,3.2903,1827.79,11.201837764574707,10.299512912012565,,,Covid Surge (2020-2021)
Oct-2020,20716.19,386106.7351691,2020-10-01,2020,Oct,2020-10,207.162,3.8611,1863.79,15.07926764572398,17.3463137090623,,,Covid Surge (2020-2021)
Nov-2020,22102.28383,390999.18529922,2020-11-01,2020,Nov,2020-11,221.023,3.91,1769.04,6.690872356355104,1.2671237470067043,81.3489860589384,106.62742030916603,Covid Surge (2020-2021)
Dec-2020,22341.58091,416176.22447486,2020-12-01,2020,Dec,2020-12,223.416,4.1618,1862.79,1.0826803322252054,6.439153870965941,70.75475129708883,105.49805729599555,Covid Surge (2020-2021)
Jan-2021,23027.28,431181.9,2021-01-01,2021,Jan,2021-01,230.273,4.3118,1872.48,3.0691610086244214,3.6056061453473287,76.45165247649008,99.39695229814143,Covid Surge (2020-2021)
Feb-2021,22928.94,425062.76,2021-02-01,2021,Feb,2021-02,229.289,4.2506,1853.83,-0.4270586886510275,-1.4191551175965489,72.95811248073825,91.02489043764646,Covid Surge (2020-2021)
